attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,attributes.Good For.latenight,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.By Appointment Only,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,categories,attributes.Waiter Service,hours.Monday.open,name,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Dietary Restrictions.kosher,type,attributes.Caters,attributes.Ambience.intimate,latitude,attributes.Good For.dinner,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.Hair Types Specialized In.perms,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale
TRUE,,TRUE,,,,,,,TRUE,TRUE,full_bar,FALSE,,TRUE,27q7XsLrKPNwr8i5RcCOvQ,FALSE,,,FALSE,"[u'Bars', u'American (Traditional)', u'Nightlife', u'Restaurants']",TRUE,,Boomerang's Bar & Grill,FALSE,FALSE,,,TRUE,,,1,FALSE,FALSE,,TRUE,10,,IL,TRUE,,FALSE,FALSE,TRUE,"1309 E Washington StUrbana, IL 61802",,,FALSE,,,FALSE,,,FALSE,FALSE,,free,TRUE,Urbana,TRUE,,4,,business,FALSE,FALSE,40.1050134,TRUE,FALSE,-88.1925483,,,,,TRUE,FALSE,,,,,TRUE,,FALSE,,,,,,loud,outdoor,casual,,TRUE,[],,FALSE,,FALSE
,,,8:00,,,,,8:00,,,,,,,G_NB9evo2fn3_Lgfpap6iw,,,8:00,,"[u'Auto Repair', u'Automotive']",,8:00,Dyno-Tune,,,,,,,,,,,,,6,,IL,,17:30,,,,"104 S Vine StUrbana, IL 61802",17:30,,,,,,,,,,17:30,,TRUE,Urbana,,,4,,business,,,40.1119516,,,-88.2046548,17:30,,17:30,,,,,,,,,,,,,,,8:00,,,,,,[],,,,
,,,,,,,,,,,,,,,UcuoAlVyNXeD1Na9M47qZw,,,,,"[u'Pizza', u'Restaurants']",,,Casey's Carry Out Pizza,,,,,,,,1,,,,,3,,IL,,,,,,"2108 E University AveUrbana, IL 61802",,,,,,,,,,,,,TRUE,Urbana,TRUE,,3.5,,business,,,40.114686,,,-88.1813252,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
,,,,,,,,,,,,,,,4jlqFH3cZsgRdWxZ6kwwvg,,,,,"[u'Auto Repair', u'Automotive', u'Body Shops']",,,Tatman's Car Care,,,,,,,,,,,,,5,,IL,,,,,,"802 Perkins RdUrbana, IL 61802",,,,,,,,,,,,,TRUE,Urbana,,,3.5,,business,,,40.127874,,,-88.198572,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
,,,8:00,,,,,8:00,,,,,,,P_X0pRArVxBjCihppLmHJg,,,8:00,,"[u'Auto Repair', u'Automotive', u'Oil Change Stations']",,8:00,Pro-Tech Motors,,,,,,,,,,,,,4,,IL,,17:30,,,,"2001 N Kenyon RdUrbana, IL 61802",17:30,,,,,,,,,,17:30,,TRUE,Urbana,,,5,,business,,,40.1317864,,,-88.1975496,17:30,,17:30,,,,,,,,,,,,,,,8:00,,,,,,[],,,,
,,,7:30,,,,,7:30,,,,,,,XL5MmKKzob_TIiRW_GnhAA,,,7:30,,"[u'Tires', u'Automotive', u'Auto Repair']",,7:30,Urbana True Tires,,,,,,,,,,,,,5,,IL,,17:30,,,,"608 N Cunningham AveUrbana, IL 61802",17:30,,,,,,8:00,,,,17:30,,TRUE,Urbana,,,5,,business,,,40.111454,,,-88.2046189,17:30,,17:30,12:00,,,,,,,,,,,,,,7:30,,,,,,[],,,,
,,,,,,,,,,,,,FALSE,FALSE,2y-lxsP5JSOT8QfLkMx68w,,,,,"[u'Beauty & Spas', u'Nail Salons']",,,Pretty Nails Spa,FALSE,,,,,,,4,,FALSE,,,4,,IL,TRUE,,,FALSE,,"114 N Vine St Ste KUrbana, IL 61802",,,,,,,,,,,,,TRUE,Urbana,,,2,,business,,,40.1134471,,,-88.2030657,,,,,,FALSE,,,,,,,,,,,,,,,,,,[],,,,
,,,8:00,,,,,8:00,,,,,,,R7BhC4Yrwi2HVZHi7VX_tQ,,,8:00,,"[u'Veterinarians', u'Pet Stores', u'Pets']",,8:00,Caring Hands Animal Hospital,,,,,,,,,,,,,11,,IL,,18:00,,,,"1704 Philo RdUrbana, IL 61802",18:00,,,,,,9:00,,,,18:00,,TRUE,Urbana,,,4,,business,,,40.0977687,,,-88.1903451,18:00,,18:00,13:00,,,,,,,,,,,,,,8:00,,,,,,[],,,,
,,,8:00,,,,,8:00,,,,,,,umWStNDUdE1QtbnPjPCfwg,,,8:00,,"[u'Auto Repair', u'Automotive']",,8:00,Fairfield Automotive,,,,,,,,,,,,,4,,IL,,17:00,,,,"211 S Cottage Grove AveUrbana, IL 61802",17:00,,,,,,,,,,17:00,,TRUE,Urbana,,,5,,business,,,40.11105,,,-88.196084,17:00,,17:00,,,,,,,,,,,,,,,8:00,,,,,,[],,,,
,,,,,,,,,,,,,,,5UvM_u7V4x2pQrsuzPdA_g,,,,,[],,,Bagelmen's Inc,,,,,,,,,,,,,4,,IL,,,,,,"401 E Green StUrbana, IL 61802",,,,,,,,,,,,,FALSE,Urbana,,,4,,business,,,40.110569,,,-88.203507,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
,,,10:00,,,,,10:00,,,,,FALSE,TRUE,QWMwvT3voF9af9bZEwYj1A,,,10:00,,"[u'Beauty & Spas', u'Nail Salons']",,,Pro Nails,FALSE,,,,,,,1,,FALSE,,,15,,IL,TRUE,18:00,,FALSE,,"2022 Philo RdUrbana, IL 61802",18:00,,,,,,10:00,,,,18:00,,FALSE,Urbana,,,4,,business,,,40.0930313,,,-88.1906486,,,18:00,18:00,,FALSE,11:00,,,,,16:00,,,,,,10:00,,,,,,[],,,,
