attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,attributes.Good For.latenight,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.By Appointment Only,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,categories,attributes.Waiter Service,hours.Monday.open,name,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Dietary Restrictions.kosher,type,attributes.Caters,attributes.Ambience.intimate,latitude,attributes.Good For.dinner,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.Hair Types Specialized In.perms,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale
,,,,,,,,,,,,,,,xXxJ7b_WUy0LBLIEM7614w,,,,,"[u'Active Life', u'Gyms', u'Fitness & Instruction']",,,Stowe Family YMCA,,,,,,,,,,,,,5,,NC,,,,,,"196 YMCA DrBelmont, NC 28012",,,,,,,,,,,,,TRUE,Belmont,,,4,,business,,,35.2633699,,,-81.0199704,,,,,TRUE,,,,,,,,,,,,,,,,,,,[],,,,
,,,,,,,,,,,,,,,fvKQpza6x2daBFXaGSm4Fg,,,,,"[u'Auto Repair', u'Automotive']",,,Carolina Auto Repair,,,,,,,,,,,,,3,,NC,,,,,,"7016 Wilkinson BlvdBelmont, NC 28012",,,,,,,,,,,,,FALSE,Belmont,,,3.5,,business,,,35.248484,,,-81.021369,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
FALSE,,,,,,,,,FALSE,FALSE,,FALSE,,FALSE,xkrhaKM1YtiLEcorBI5zcQ,FALSE,,,FALSE,"[u'Restaurants', u'Pizza', u'Italian']",TRUE,,Demetrios Restaurant,FALSE,FALSE,,,,,,1,FALSE,FALSE,,,5,,NC,TRUE,,FALSE,FALSE,TRUE,"6928 W Wilkinson BlvdBelmont, NC 28012",,,FALSE,,,FALSE,,,FALSE,FALSE,,,TRUE,Belmont,,,3.5,,business,,FALSE,35.24866677,FALSE,,-81.02124166,,,,,TRUE,FALSE,,,,,TRUE,,FALSE,,,,,,average,,casual,,TRUE,[],,FALSE,,FALSE
FALSE,,,9:00,,,,,9:00,FALSE,FALSE,none,FALSE,,FALSE,qm6yyQUe8Ln29NzDfWqxVA,FALSE,,9:00,FALSE,"[u'Cafes', u'Restaurants']",TRUE,9:00,Cherubs Craft and Coffee Shop,FALSE,FALSE,,,,,,1,FALSE,FALSE,,,5,,NC,TRUE,17:00,FALSE,FALSE,TRUE,"23 N Main StBelmont, NC 28012",17:00,,FALSE,,,FALSE,9:00,,FALSE,FALSE,17:00,,TRUE,Belmont,,,5,,business,TRUE,FALSE,35.2431321,FALSE,,-81.0380587,17:00,,17:00,17:00,TRUE,FALSE,,,,,FALSE,,TRUE,,,,,9:00,quiet,,casual,,TRUE,[],,FALSE,,FALSE
,,,,,,,,,FALSE,FALSE,,,,,EZrCQtZxiEo1kkAYt2EQqw,,,,FALSE,"[u'Burgers', u'Fast Food', u'Restaurants']",,,Wendy's,,,,,,,,1,FALSE,,,,7,,NC,TRUE,,FALSE,,TRUE,"660 Park StBelmont, NC 28012",,,FALSE,,,FALSE,,,,FALSE,,,TRUE,Belmont,,,2.5,,business,,,35.253329,FALSE,,-81.027326,,,,,TRUE,,,,,,,,,,,TRUE,,,,,casual,,TRUE,[],,,,
FALSE,,,,,,,,,,FALSE,none,FALSE,,FALSE,HPcrrz8uipPQyK-5zd6w9Q,FALSE,,,,"[u'Italian', u'Pizza', u'Chicken Wings', u'Restaurants']",TRUE,,Pizza Hut,FALSE,FALSE,,,,,,2,,FALSE,,,7,,NC,TRUE,,,FALSE,TRUE,"685 Park St.Abbey PlazaBelmont, NC 28012",,,,,,FALSE,,,FALSE,TRUE,,no,TRUE,Belmont,FALSE,,2.5,,business,TRUE,FALSE,35.2546334,,,-81.0277219,,,,,TRUE,FALSE,,,,,FALSE,,FALSE,,,,,,quiet,,casual,,TRUE,[],,FALSE,,FALSE
,,,,,,,,,FALSE,FALSE,,,,,sPvUuYAF2a1LnYaw8iCm9A,,,,FALSE,"[u'Fast Food', u'Restaurants']",,,Bojangles Restaurant,,,,,,,,2,FALSE,,,,3,,NC,TRUE,,FALSE,,TRUE,"6450 W Wilkinson BlvdBelmont, NC 28012",,,FALSE,,,FALSE,,,,FALSE,,,TRUE,Belmont,,,4.5,,business,,,35.252225,FALSE,,-81.043273,,,,,TRUE,,,,,,FALSE,,,,,TRUE,,,,,casual,,TRUE,[],,,,
,,,6:00,,,,,6:00,FALSE,FALSE,,,,FALSE,cbLaFQJOfzDy_TxMkPee9Q,,,6:00,FALSE,"[u'Breakfast & Brunch', u'Restaurants']",,6:00,White's Restaurant,FALSE,,,,,,,1,FALSE,FALSE,,,7,,NC,TRUE,13:30,FALSE,FALSE,FALSE,"417 Catawba StBelmont, NC 28012",13:30,,FALSE,,,FALSE,,,,FALSE,13:30,,TRUE,Belmont,,,4.5,,business,,,35.24276419,FALSE,,-81.02815566,13:30,,13:30,,TRUE,FALSE,,,,,TRUE,,,,,,,6:00,,,casual,,FALSE,[],,,,
,,,12:00,,,,,12:00,,,,,,TRUE,P_Ks4SYvo_m4pHlPE8rOUQ,,,12:00,,"[u'Food', u'Grocery', u'Shopping', u'Drugstores']",,,Bi-Lo,FALSE,,,,,,,2,,FALSE,,,3,,NC,TRUE,12:00,,FALSE,,"6507 W Wilkinson BlvdBelmont, NC 28012",12:00,,,,,,12:00,,,,12:00,,TRUE,Belmont,,,3.5,,business,,,35.2543245,,,-81.0420124,,,12:00,12:00,,FALSE,12:00,,,,,12:00,,,,,,12:00,,,,,,[],,,,
FALSE,,,11:00,,,,,11:00,FALSE,FALSE,none,FALSE,,TRUE,W-2Tuk4uWYm5BsdlWju8wg,FALSE,,11:00,FALSE,"[u'Seafood', u'Restaurants']",TRUE,11:00,The Captain's Cap,FALSE,FALSE,,,,,,2,FALSE,FALSE,,,14,,NC,TRUE,21:30,FALSE,FALSE,TRUE,"670 Park StBelmont, NC 28012",21:00,,FALSE,,,TRUE,15:30,,FALSE,FALSE,21:00,free,TRUE,Belmont,TRUE,,3,,business,FALSE,FALSE,35.2534228,FALSE,,-81.0266346,21:00,,21:00,21:30,TRUE,FALSE,,,,,FALSE,,TRUE,,FALSE,,,11:00,average,,casual,,TRUE,[],,FALSE,,FALSE
