attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,attributes.Good For.latenight,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.By Appointment Only,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,categories,attributes.Waiter Service,hours.Monday.open,name,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Dietary Restrictions.kosher,type,attributes.Caters,attributes.Ambience.intimate,latitude,attributes.Good For.dinner,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.Hair Types Specialized In.perms,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale
,,,9:00,,,,,9:00,,,,,TRUE,TRUE,1IxCNVVW9aKbK3BfQpI7eg,,,9:00,,"[u'Doctors', u'Cosmetic Surgeons', u'Beauty & Spas', u'Laser Hair Removal', u'Health & Medical', u'Hair Removal', u'Dermatologists']",,9:00,Lasting Skin Solutions,FALSE,,,,,,,3,,FALSE,,,3,,WI,TRUE,17:00,,FALSE,,"7617 Mineral Point RdSte 202Madison, WI 53717",17:00,,,,,,,,,,17:00,,TRUE,Madison,TRUE,,3.5,,business,,,43.0601413,,,-89.5148119,17:00,,17:00,,,FALSE,,,,,,,,,,,,9:00,,,,,,[],,,,
FALSE,,,,,,,,,FALSE,FALSE,none,FALSE,,TRUE,JwUE5GmEO-sH1FuwJgKBlQ,FALSE,,,FALSE,"[u'American (Traditional)', u'Restaurants']",TRUE,,Pine Cone Restaurant,FALSE,FALSE,,,,,,1,FALSE,FALSE,,,38,,WI,TRUE,,TRUE,FALSE,TRUE,"6162 US Hwy 51De Forest, WI 53532",,,FALSE,,,FALSE,,,FALSE,FALSE,,no,TRUE,De Forest,,,4,,business,FALSE,FALSE,43.18405,FALSE,,-89.3229659,,,,,TRUE,FALSE,,,,,FALSE,,FALSE,,,,,,average,,casual,,TRUE,[],,FALSE,,FALSE
,,,7:00,,,,,7:00,,,,,,,fniL8DdDAQnFDxoSmuDBmg,,,7:00,,"[u'Auto Repair', u'Automotive', u'Oil Change Stations']",,7:00,Parks Automotive,,,,,,,,,,,,,4,,WI,,18:00,,,,"625 W North StDe Forest, WI 53532",18:00,,,,,,,,,,18:00,,TRUE,De Forest,,,5,,business,,,43.2521984,,,-89.3571064,18:00,,18:00,,,,,,,,,,,,,,,7:00,,,,,,[],,,,
,,,15:00,,,,,15:00,,,,,,,9vzqOd8EMreRUBRt4r2Fig,,,15:00,,"[u'Pet Services', u'Pet Groomers', u'Pet Boarding/Pet Sitting', u'Pets']",,15:00,Aunt B's Pet Resort & Spa,,,,,,,,,,,,,4,,WI,,18:30,,,,"6990 Hickory LnDe Forest, WI 53532",18:30,,,,,,16:00,,,,18:30,,TRUE,De Forest,,,4,,business,,,43.2454617,,,-89.3823934,18:30,,18:30,17:00,,,17:00,,,,,18:00,,,,,,15:00,,,,,,[],,,,
,,,,,,,,,,,,,,,1xSlXGz5wssA5vVxcUnb4w,,,,,"[u'Hotels & Travel', u'RV Parks', u'Campgrounds']",,,Madison KOA,,,,,,,,,,,,,5,,WI,,,,,,"4859 County Road VDe Forest, WI 53532",,,,,,,,,,,,,TRUE,De Forest,,,4.5,,business,,,43.248075,,,-89.370734,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
,,,0:00,,,,,0:00,,,,,,FALSE,_L6sbh9zs7f4s1EM_niQcA,,,0:00,,"[u'Gas & Service Stations', u'Food', u'Automotive', u'Convenience Stores', u'Restaurants', u'Pizza']",FALSE,0:00,Casey's General Store,FALSE,,,,,,,,,FALSE,,,3,,WI,,0:00,,FALSE,TRUE,"602 W North StDe Forest, WI 53532",0:00,,,,,,0:00,,,,0:00,,TRUE,De Forest,,,5,,business,,,43.25312,,,-89.356495,0:00,,0:00,0:00,,FALSE,0:00,,,,,0:00,,,,,,0:00,,,,,,[],,,,
,,,9:00,,,,,9:00,,,,,TRUE,FALSE,B6G2ma7Io9GllYmHDX2WPQ,,,7:00,,"[u'Massage Therapy', u'Health & Medical', u'Beauty & Spas', u'Tanning', u'Nail Salons']",,7:00,Genesis Hair And Day Spa,TRUE,,,,,,,2,,FALSE,,,5,,WI,TRUE,17:00,,FALSE,,"148 Market StDe Forest, WI 53532",17:00,,,,,,9:00,,,,21:00,,TRUE,De Forest,TRUE,,4.5,,business,,,43.2465085,,,-89.3419492,21:00,,21:00,17:00,FALSE,FALSE,7:00,,,,,21:00,,,,,,7:00,,,,,,[],,,,
FALSE,,,6:00,,,,,6:00,FALSE,FALSE,none,FALSE,,TRUE,uGykseHzyS5xAMWoN6YUqA,FALSE,,6:00,TRUE,"[u'American (Traditional)', u'Restaurants']",TRUE,6:00,Deforest Family Restaurant,FALSE,FALSE,,,,,,1,TRUE,FALSE,,,28,,WI,TRUE,21:00,FALSE,FALSE,TRUE,"505 W North StDe Forest, WI 53532",21:00,,FALSE,,,FALSE,6:00,,FALSE,FALSE,21:00,,TRUE,De Forest,,,3.5,,business,FALSE,FALSE,43.2521822,FALSE,,-89.353353,21:00,,21:00,21:00,TRUE,FALSE,6:00,,,,FALSE,21:00,TRUE,,,,,6:00,quiet,,casual,,TRUE,[],,FALSE,,FALSE
FALSE,,,10:30,,,,,10:30,FALSE,TRUE,none,FALSE,,TRUE,LRKJF43s9-3jG9Lgx4zODg,FALSE,,10:30,FALSE,"[u'Food', u'Ice Cream & Frozen Yogurt', u'Fast Food', u'Restaurants']",,10:30,Culver's,FALSE,FALSE,,,,,,1,FALSE,FALSE,,,13,,WI,TRUE,22:00,FALSE,FALSE,TRUE,"4910 County Rd VDe Forest, WI 53532",22:00,,FALSE,,,FALSE,10:30,,FALSE,FALSE,22:00,free,TRUE,De Forest,TRUE,,4.5,,business,FALSE,FALSE,43.2755625,FALSE,,-89.3658244,22:00,,22:00,22:00,TRUE,FALSE,10:30,,,,TRUE,22:00,FALSE,,,TRUE,,10:30,quiet,,casual,,TRUE,[],,FALSE,,FALSE
,,,10:30,,,,,10:30,,,,,,,E6r76XG8u6qJCJuyAMVFrg,,,10:30,,"[u'Italian', u'Pizza', u'Chicken Wings', u'Restaurants']",,10:30,Pizza Hut,,,,,,,,1,,,,,4,,WI,TRUE,0:00,,,TRUE,"633 S Main StDe Forest, WI 53532",23:00,,,,,FALSE,10:30,,,TRUE,23:00,,TRUE,De Forest,FALSE,,4,,business,FALSE,,43.2393613,,,-89.342612,23:00,,23:00,0:00,TRUE,,10:30,,,,TRUE,22:00,,,,,,10:30,,,casual,,TRUE,[],,,,
