date,close
1-Aug-12,4
13-Feb-14,5
31-Oct-15,5
8-Nov-13,5
29-Mar-14,3
29-Oct-14,1
28-Nov-14,4
27-Feb-14,5
16-Jun-15,5
19-Aug-12,3
18-Apr-13,1
14-Jul-13,1
16-Aug-13,4
11-Jul-14,4
10-Jun-13,5
23-Dec-13,2
4-Sep-14,4
6-May-15,1
2-Nov-15,1
1-Dec-12,5
15-Mar-13,5
30-Mar-13,5
20-Oct-13,4
7-Nov-13,5
22-Mar-14,5
1-May-14,5
29-Sep-14,4
3-Nov-14,5
18-Dec-14,4
6-Mar-15,5
8-Mar-15,4
16-Mar-15,4
2-Jul-15,5
6-Nov-15,5
4-Dec-15,5
15-Dec-15,5
16-Dec-15,5
28-Jan-15,3
25-Jun-15,1
11-Oct-10,4
27-Feb-11,4
15-Aug-11,4
22-Dec-11,3
25-Apr-13,4
29-Apr-13,5
17-Sep-13,3
16-Feb-14,5
13-Mar-14,2
27-Jun-14,5
21-Jul-14,5
8-Aug-14,3
30-Jan-15,3
2-Jul-15,3
15-Jul-15,5
16-Aug-15,5
11-Nov-15,4
14-Dec-12,1
21-Mar-13,1
27-Sep-13,1
20-Feb-14,4
